gender,birth,marriage,religion,income,code_job,code_region
1,2010,0,1,9999,NA,1
1,1936,1,1,9999,NA,1
2,1946,1,1,9999,NA,1
2,1977,3,1,150,313,2
2,2008,0,1,9999,NA,2
1,1947,1,1,150,942,2
2,1949,1,1,9999,NA,2
1,1973,2,1,170,743,2
1,2002,0,1,9999,NA,2
2,2004,0,1,9999,NA,2
1,1936,2,1,9999,NA,1
2,1957,3,1,162,722,1
2,1987,5,1,170,399,1
1,1991,5,1,9999,NA,1
1,1959,3,2,9999,NA,1
1,1955,1,1,70,251,1
2,1960,1,1,9999,NA,1
1,1989,5,1,270,753,3
1,1957,3,2,9999,530,1
1,1989,5,2,164.7,930,1
2,1934,2,2,9999,NA,1
1,1952,3,2,170,942,1
1,1960,1,2,9999,999,1
2,1960,1,2,9999,999,1
2,1988,5,1,9999,NA,1
2,1993,5,1,120,521,1
1,1972,1,1,419.16,780,1
2,1973,1,1,204.66,259,1
1,2000,0,1,9999,NA,1
2,1944,2,1,9999,NA,1
2,1971,5,1,9999,281,1
2,1976,1,2,433.3,312,1
1,1982,5,1,233,510,1
1,1973,1,2,800,235,1
1,1950,1,1,9999,873,1
2,1953,1,1,96,941,1
1,1982,5,1,333,252,1
2,1937,3,1,9999,NA,1
1,1934,1,1,9999,NA,1
2,1934,1,1,9999,NA,1
1,1938,2,2,9999,NA,1
2,1963,3,1,220,442,1
2,1992,5,1,9999,NA,1
2,1995,5,1,218,311,1
1,1954,2,2,9999,NA,1
2,1994,5,1,9999,NA,1
1,1997,0,1,9999,NA,1
1,1965,1,1,9999,772,1
2,1969,1,1,170,930,1
2,1992,5,1,9999,NA,1
2,1993,5,1,120,422,1
2,2000,0,1,9999,NA,1
1,1970,1,1,280,873,1
2,1971,1,1,193,930,1
2,2001,0,1,9999,NA,1
2,2003,0,1,9999,NA,1
2,1944,3,1,17,941,1
2,1950,3,1,80.4,930,1
1,1971,2,2,138,149,1
1,1997,0,2,9999,NA,1
1,1932,1,1,9999,NA,1
2,1936,1,1,9999,NA,1
1,1957,1,2,9999,442,1
2,1958,1,1,9999,441,1
2,1979,1,2,9999,NA,2
1,1983,5,2,9999,442,1
1,1975,1,2,311,246,2
2,2009,0,2,9999,NA,2
1,2012,0,2,9999,NA,2
1,1962,1,2,250,891,1
2,1964,1,2,98.33,721,1
1,1990,5,2,9999,NA,1
1,1952,1,2,9999,442,1
2,1957,1,2,9999,442,1
1,1981,5,2,506.66,246,1
2,1984,5,2,254.16,320,1
1,1952,3,2,9999,NA,1
1,1929,2,2,9999,NA,1
2,1931,2,2,9999,NA,1
2,1960,5,2,9999,NA,1
1,1936,1,2,9999,NA,1
2,1936,1,2,9999,NA,1
1,1960,5,2,9999,NA,1
1,1966,1,2,9999,823,1
2,1966,1,1,9999,999,1
2,2004,0,1,9999,NA,1
2,2004,0,1,9999,NA,1
1,1938,1,1,9999,NA,1
2,1939,1,1,9999,NA,1
1,1960,1,2,9999,875,1
2,1962,1,2,110,521,1
2,1987,5,2,318.33,320,1
1,1961,1,1,9999,159,1
2,1968,1,1,9999,NA,1
1,1998,0,1,9999,NA,1
2,1999,0,1,9999,NA,1
1,1964,1,1,230,248,1
2,1975,1,1,150,442,1
2,1997,0,1,9999,NA,1
1,1999,0,1,9999,NA,1
2,1942,3,1,9999,NA,1
1,1936,1,1,9999,NA,1
2,1939,1,1,9999,NA,1
2,2008,0,1,9999,NA,1
2,2011,0,1,9999,NA,1
1,1974,1,2,200,773,2
2,1981,1,2,9999,NA,2
2,2007,0,2,9999,NA,2
1,1940,1,1,9999,NA,1
2,1943,1,1,9999,NA,1
1,2000,0,1,9999,NA,1
1,1968,3,1,9999,521,1
1,1955,1,1,9999,874,1
2,1961,1,1,151.2,951,1
1,1993,5,1,9999,NA,1
1,1961,1,2,310.5,892,1
2,1961,1,1,9999,NA,1
1,1938,1,1,9999,NA,1
2,1943,1,1,9999,NA,1
1,1979,1,2,291.7,312,1
2,1983,1,2,9999,NA,1
1,2010,0,2,9999,NA,1
1,1945,1,1,9999,254,1
2,1953,1,1,9999,NA,1
2,1918,2,2,9999,NA,1
2,1946,2,2,9999,521,1
2,1947,3,2,9999,NA,1
1,2001,0,2,9999,NA,1
1,1926,1,1,9999,NA,1
2,1935,1,1,9999,NA,1
1,1944,1,2,9999,NA,1
2,1950,1,2,9999,NA,1
1,1978,5,2,600,320,1
2,1979,5,2,201.66,313,1
1,1981,5,2,68,442,1
2,1927,2,1,9999,NA,1
1,1973,5,1,365.3,221,1
1,1943,2,2,9999,NA,1
1,1970,1,1,280,873,1
2,1969,1,1,301.9,313,1
1,1999,0,1,9999,NA,1
1,1930,1,1,9999,NA,1
2,1932,1,1,9999,NA,1
2,1943,2,1,9999,NA,1
1,1979,5,1,9999,721,1
1,1942,1,1,9999,241,1
2,1943,1,1,9999,NA,1
1,1947,1,1,9999,NA,1
2,1948,1,1,9999,NA,1
2,1980,5,1,313,285,1
1,1963,1,1,9999,773,1
2,1961,1,1,50,422,1
1,1937,1,1,20,254,1
2,1937,1,1,9999,NA,1
1,1937,1,2,9999,NA,1
2,1943,1,2,9999,NA,1
1,1936,1,1,9999,NA,1
2,1939,1,1,9999,NA,1
2,1958,1,1,139.58,999,1
1,1988,5,1,150,530,1
1,1969,1,2,373.83,773,1
2,1971,1,2,9999,NA,1
2,2000,0,2,9999,NA,1
2,2002,0,2,9999,NA,1
2,1972,1,2,287.5,239,2
1,1979,1,2,250,221,2
2,2010,0,2,9999,NA,2
1,2012,0,2,9999,NA,2
2,1956,2,1,208.73,442,1
1,1982,5,1,270.3,442,1
1,1945,1,2,9999,141,1
2,1948,1,2,9999,NA,1
2,1954,3,1,95,521,2
1,1974,1,2,550,521,1
2,1974,1,2,9999,442,1
2,2005,0,2,9999,NA,1
1,1963,1,1,245.3,791,1
2,1964,1,1,20,421,1
2,1990,5,1,200.3,245,1
1,1991,5,1,9999,NA,1
2,1935,2,1,9999,NA,1
1,1950,1,1,9999,NA,1
2,1953,1,2,9999,NA,1
2,1987,1,2,9999,NA,1
1,1928,1,2,9999,NA,1
2,1930,1,2,9999,NA,1
2,1958,3,2,147.9,930,1
1,1984,5,2,163,922,1
1,1950,1,2,9999,NA,6
2,1954,1,2,9999,NA,6
1,1977,1,2,672,271,1
2,1979,1,2,286.6,313,1
2,1979,1,2,9999,NA,1
1,2010,0,2,9999,NA,1
1,1980,1,2,375,313,1
2,1969,1,2,9999,NA,2
1,1970,1,2,610,312,2
2,1946,2,1,153,721,1
1,1982,1,1,410,761,2
2,1982,1,1,9999,NA,2
2,2008,0,1,9999,NA,2
2,1949,2,1,67,941,1
1,1975,5,2,180,773,1
2,1997,0,1,9999,NA,1
1,2000,0,1,9999,NA,1
1,1963,1,1,215.5,722,1
2,1973,1,1,9999,NA,1
2,1998,0,1,9999,NA,1
2,2000,0,1,9999,NA,1
2,2004,0,1,9999,NA,1
2,2007,0,1,9999,NA,1
